Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,71.61,1.42,11.83,6.05,15.70,50.81,73.71,9.25,1.48,2.80,4.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI
STX,Seagate Technology,Information Technology,39.38,6.26,31.18,1.26,5.10,18.42,40.97,11.60,1.57,1.05,7.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX
SEE,Sealed Air Corp.(New),Materials,48.20,1.37,21.79,2.21,2.86,38.02,52.83,9.32,1.08,1.39,17.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE
SRE,Sempra Energy,Utilities,100.50,3.03,18.65,5.39,49.31,86.72,114.66,25.16,2.83,2.49,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
SHW,Sherwin-Williams,Materials,271.06,1.26,22.62,11.98,17.37,234.96,312.48,24.94,1.97,2.14,15.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW
SIG,Signet Jewelers,Consumer Discretionary,98.66,1.11,14.77,6.68,32.06,72.65,135.59,6.86,0.9051,1.01,3.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIG
SPG,Simon Property Group Inc,Financials,184.01,3.66,31.34,5.87,14.59,174.91,229.10,57.82,4.03,10.71,12.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG
SWKS,Skyworks Solutions,Information Technology,76.53,1.47,14.77,5.18,19.15,54.50,83.56,14.22,1.37,4.49,4.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
SLG,SL Green Realty,Financials,110.7023,2.8200,38.0420,2.9100,70.5300,80.1200,120.6300,11.22,1.03,6.1210,1.5703,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG
SJM,Smucker (J.M.),Consumer Staples,130.59,2.37,21.29,6.13,61.67,117.36,157.31,15.21,1.69,2.00,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
SNA,Snap-On Inc.,Consumer Discretionary,176.21,1.64,19.67,8.96,46.03,133.09,177.86,10.22,0.9054,2.74,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
SO,Southern Co.,Utilities,47.925,4.770,17.997,2.663,25.048,43.930,54.640,46.97,7.41,2.541,1.893,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO
LUV,Southwest Airlines,Industrials,49.81,0.84,14.16,3.52,13.07,33.96,50.68,30.66,5.52,1.50,3.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
SWN,Southwestern Energy,Energy,12.545,0.000,,-11.378,2.298,5.000,15.590,6.13,0.65,2.477,5.379,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN
SE,Spectra Energy Corp.,Energy,40.8927,3.9400,89.8741,0.4550,10.6460,21.7500,44.0000,28.69,2.41,5.8291,3.8512,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SE
